# 
# QCancer(Lung)-2011 data tables.
# Copyright 2011 ClinRisk Ltd. 
#  
# This work is licenced under the Creative Commons Attribution-NoDerivs 2.0 UK: England & Wales License. 
# To view a copy of this licence, visit http://creativecommons.org/licenses/by-nd/2.0/uk/ or send a letter to Creative Commons, 171 Second Street, Suite 300, San Francisco, California 94105, USA.
# 
# 
sex1,_t,basehaz_death_0_30,basehaz_event_0_30,timeyears
1,10.685832,.000011,0,10
1,10.688569,.000011,0,10
1,10.691307,.000011,0,10
1,10.696783,.000011,0,10
1,10.71321,.000011,0,10
1,10.735113,.000011,0,10
1,10.800821,.0000114,0,10
1,10.803559,.0000114,0,10
1,10.811773,.0000114,0,10
1,10.830938,.0000114,0,10
1,10.833676,.0000114,0,10
1,10.839151,.0000114,0,10
1,10.847365,.0000114,0,10
1,10.863792,.0000114,0,10
1,10.86653,.0000114,0,10
1,10.885695,.0000114,0,10
1,10.921287,.0000114,0,10
1,10.926762,.0000114,0,10
1,10.934976,.0000114,0,10
1,10.937714,.0000229,0,10
1,10.956879,.0000228,0,10
1,10.962355,.0000114,0,10
1,10.965092,.0000114,0,10
1,10.995209,.0000114,0,10
1,10.997947,.0000114,0,10
1,11.011636,.0000114,0,11
1,11.033539,.0000113,0,11
1,11.039014,.0000113,0,11
1,11.047228,.0000113,0,11
1,11.049966,.0000113,0,11
1,11.066393,.0000113,0,11
1,11.074606,.0000227,0,11
1,11.080082,.0000113,0,11
1,11.093771,.0000113,0,11
1,11.099247,.0000113,0,11
1,11.104723,.0000113,0,11
1,11.118412,.0000113,0,11
1,11.137577,.0000113,0,11
1,11.156742,.0000114,0,11
1,11.15948,.0000114,0,11
1,11.206023,.0000114,0,11
1,11.214237,.0000114,0,11
1,11.227926,.0000114,0,11
1,11.230664,.0000114,0,11
1,11.23614,.0000228,5.78e-06,11
1,11.266256,.0000114,0,11
1,11.268994,.0000228,0,11
1,11.301848,.0000114,0,11
1,11.321013,.0000114,0,11
1,11.323751,.0000114,0,11
1,11.340178,.0000114,0,11
1,11.345654,.0000114,0,11
1,11.348392,.0000114,0,11
1,11.370294,.0000114,0,11
1,11.37577,.0000342,0,11
1,11.419576,.0000114,0,11
1,11.441478,.0000114,0,11
1,11.444216,.0000114,0,11
1,11.446954,.0000114,0,11
1,11.466119,.0000228,0,11
1,11.482546,.0000114,0,11
1,11.496235,.0000229,0,11
1,11.498973,.0000114,0,11
1,11.504449,.0000114,0,11
1,11.509925,.0000229,0,11
1,11.575633,.0000115,0,11
1,11.597536,.0000115,0,11
1,11.600274,.0000115,0,11
1,11.616701,.0000115,0,11
1,11.619439,.0000115,0,11
1,11.624914,.0000115,0,11
1,11.627652,.0000115,0,11
1,11.638604,.0000229,0,11
